source_id,source_organization,landing_page,direct_download,local_relative_path,release_label,underlying_vintage,sha256,run_id
ACS_B19013_2024,U.S. Census Bureau,https://data.census.gov/table/ACSDT5Y2024.B19013?q=B19013,provided local data.census.gov export,HH Data/ACSDT5Y2024.B19013-Data.csv,2024 ACS 5-Year Detailed Tables,2024,b4f59c2a023b40f150df20ad2a54a29d4d3daa6f1128e7a90981951a02983915,phase1_acs2024_b4f59c2a02_xw_29e5a007c6_v1_1_0
HRSA_ZIP_ZCTA_2024,U.S. Health Resources and Services Administration,https://data.hrsa.gov/GeoCareNavigator/Resources,https://data.hrsa.gov/DataDownload/GeoCareNavigator/ZIPCodetoZCTACrosswalk2024UDS.xlsx,Crosswalk/ZIPCodetoZCTACrosswalk2024UDS.xlsx,2024 ZIP Code to ZCTA Crosswalk,HRSA 2024 release; Census TIGER 2023 ZCTA boundaries; June 2023 ZIP boundaries,29e5a007c6825a17336dde863ea35ae35de8b142fe224279f2ec241bd69a249f,phase1_acs2024_b4f59c2a02_xw_29e5a007c6_v1_1_0
