stage,record_count,reconciliation_role,run_id
acs_physical_rows,33774,header + annotation + data,phase1_acs2024_b4f59c2a02_xw_29e5a007c6_v1_1_0
acs_canonical_zcta_rows,33772,canonical,phase1_acs2024_b4f59c2a02_xw_29e5a007c6_v1_1_0
crosswalk_raw_rows,41061,all source relationships,phase1_acs2024_b4f59c2a02_xw_29e5a007c6_v1_1_0
crosswalk_rows_with_zcta,41053,mapped ZIP,phase1_acs2024_b4f59c2a02_xw_29e5a007c6_v1_1_0
crosswalk_rows_without_zcta,8,ZIP exception,phase1_acs2024_b4f59c2a02_xw_29e5a007c6_v1_1_0
zcta_state_resolved,33770,resolved,phase1_acs2024_b4f59c2a02_xw_29e5a007c6_v1_1_0
zcta_state_unresolved,2,unresolved,phase1_acs2024_b4f59c2a02_xw_29e5a007c6_v1_1_0
within_state_rank_calculated,30414,valid exact income + resolved state,phase1_acs2024_b4f59c2a02_xw_29e5a007c6_v1_1_0
